subhalo_id,simulation,snapshot,redshift,n_stellar_particles,n_disk_particles,M_star_Msun,R_d_kpc,aperture_R_in_kpc,aperture_R_out_kpc,A1_literature,A2_literature,A1_integral_area,A1_integral_jog,A2_integral_area,A2_integral_jog,A1_bootstrap_mean,A1_bootstrap_std,A2_bootstrap_mean,A2_bootstrap_std,dominant_mode,bar_length_kpc,bar_angle_deg,pattern_coherence,phase_scatter_m2_deg,bar_length_bootstrap_mean,bar_length_bootstrap_std,v_max_kms,R_v_max_kpc
628220,L35n2160TNG,99,2.22045e-16,122500,120519,7.16502e+09,1.14327,nan,nan,0.186193,0.287227,0.191315,0.17969,0.281372,0.294649,0.186334,0.00901191,0.287616,0.00908368,2,14.4375,4.12671,0.259259,45.4057,14.8012,0.0639702,125.566,2.74801
628378,L35n2160TNG,99,2.22045e-16,84182,80840,5.00686e+09,4.65199,nan,nan,0.131816,0.177956,0.133282,0.132433,0.183083,0.17567,0.137991,0.00899247,0.181523,0.00858127,1,12.1875,33.9821,0.375,41.2666,12.2981,0.481401,117.25,15.71
628555,L35n2160TNG,99,2.22045e-16,171567,154520,1.01102e+10,1.51858,nan,nan,0.040461,0.67754,0.0425015,0.0395325,0.667223,0.681874,0.0447749,0.00718508,0.676968,0.0083783,2,5.8125,-5.47369,0.625,40.625,14.7637,0.14673,98.8974,5.39243
628717,L35n2160TNG,99,2.22045e-16,142929,121742,8.45765e+09,3.07483,nan,nan,0.247783,0.0845957,0.245303,0.24825,0.0899335,0.0832192,0.249004,0.00969212,0.0927012,0.00894406,1,14.8125,-64.0384,1,22.1778,14.8125,0,112.696,18.83
628949,L35n2160TNG,99,2.22045e-16,225729,197758,1.35356e+10,2.89535,nan,nan,0.0754018,0.0618084,0.0746594,0.0749164,0.0636587,0.0611514,0.0774741,0.00612428,0.0643705,0.00633899,1,2.0625,47.4561,0,58.52,8.49188,5.87751,114.947,7.91
629266,L35n2160TNG,99,2.22045e-16,171626,157125,1.02548e+10,3.56371,nan,nan,0.180418,0.229321,0.183243,0.180848,0.236306,0.228936,0.182691,0.00731478,0.229142,0.00795724,2,14.8125,3.8332,0.73913,50.6112,14.8125,0,120.964,14.15
629409,L35n2160TNG,99,2.22045e-16,278620,264780,1.6555e+10,2.3439,nan,nan,0.0654393,0.297475,0.0696734,0.0623159,0.287366,0.305409,0.0669975,0.0053473,0.297592,0.00508684,2,13.3125,-16.2534,0.2,52.6245,14.8106,0.0264501,150.048,8.16551
629523,L35n2160TNG,99,2.22045e-16,68419,58291,4.22854e+09,1.82912,nan,nan,0.216434,0.111316,0.231839,0.204887,0.11396,0.109271,0.219427,0.0119798,0.116168,0.0121669,2,14.8125,42.8285,0.807692,32.8719,14.7769,0.109956,70.4378,4.17457
629762,L35n2160TNG,99,2.22045e-16,102951,88064,6.25894e+09,2.69634,nan,nan,0.183088,0.0925719,0.185289,0.181557,0.0975172,0.0898387,0.186957,0.0139657,0.104673,0.0135893,2,11.4375,6.38841,0.210526,56.3496,14.6569,0.373643,113.054,18.83
629891,L35n2160TNG,99,2.22045e-16,240840,215086,1.41133e+10,2.0095,nan,nan,0.0442383,0.248833,0.0465784,0.0424046,0.256311,0.242838,0.0484717,0.00771887,0.249899,0.00827196,2,14.8125,8.40423,0.515152,50.7147,14.8125,0,113.939,4.54977
